09-09 17:03:02.401 14642-14642/com.timaimee.vpbluetoothsdkdemo I/timaimee-OperaterActivity: ║ is_have_fuction_nightturn_setting-->true
09-09 17:03:02.401 14642-14642/com.timaimee.vpbluetoothsdkdemo I/timaimee-OperaterActivity: ║ is_have_fuction_rate-->true
09-09 17:03:02.402 14642-14642/com.timaimee.vpbluetoothsdkdemo I/timaimee-OperaterActivity: ║ is_have_fuction_screenlight-->true
09-09 17:03:02.402 14642-14642/com.timaimee.vpbluetoothsdkdemo I/timaimee-OperaterActivity: ║ is_have_fuction_screen_style-->false
09-09 17:03:02.402 14642-14642/com.timaimee.vpbluetoothsdkdemo I/timaimee-OperaterActivity: ║ is_have_fuction_seconds_watch-->true
09-09 17:03:02.402 14642-14642/com.timaimee.vpbluetoothsdkdemo I/timaimee-OperaterActivity: ║ is_have_fuction_skin-->false
09-09 17:03:02.402 14642-14642/com.timaimee.vpbluetoothsdkdemo I/timaimee-OperaterActivity: ║ is_have_fuction_spo2h-->false
09-09 17:03:02.402 14642-14642/com.timaimee.vpbluetoothsdkdemo I/timaimee-OperaterActivity: ║ is_have_fuction_spoh2_low_remain-->true
09-09 17:03:02.402 14642-14642/com.timaimee.vpbluetoothsdkdemo I/timaimee-OperaterActivity: ║ is_have_fuction_spo2h-->false
09-09 17:03:02.402 14642-14642/com.timaimee.vpbluetoothsdkdemo I/timaimee-OperaterActivity: ║ is_have_fuction_sport_model-->false
09-09 17:03:02.402 14642-14642/com.timaimee.vpbluetoothsdkdemo I/timaimee-OperaterActivity: ║ is_have_fuction_sport_over_remain-->true
09-09 17:03:02.402 14642-14642/com.timaimee.vpbluetoothsdkdemo I/timaimee-OperaterActivity: ║ is_have_fuction_voice_bp_heart-->true
09-09 17:03:02.402 14642-14642/com.timaimee.vpbluetoothsdkdemo I/timaimee-OperaterActivity: ║ is_have_fuction_wechat_sport-->true
09-09 17:03:02.402 14642-14642/com.timaimee.vpbluetoothsdkdemo I/timaimee-OperaterActivity: ║ is_have_fuction_women_setting-->false
